https://ftp.pwg.org/pub/pwg/candidates/cs-ippepx20-20240315-5100.11.pdf

Attributes (attribute syntax)
  Keyword Attribute Value	Reference
  -----------------------	---------
printer-state-reasons (1setOf type2 keyword)	[RFC8011]
  storage-added	[PWG5100.11]
  storage-almost-full	[PWG5100.11]
  storage-cover-closed	[PWG5100.11]
  storage-cover-open	[PWG5100.11]
  storage-configuration-change	[PWG5100.11]
  storage-full	[PWG5100.11]
  storage-interlock-closed	[PWG5100.11]
  storage-interlock-open	[PWG5100.11]
  storage-life-almost-over	[PWG5100.11]
  storage-life-over	[PWG5100.11]
  storage-missing	[PWG5100.11]
  storage-offline	[PWG5100.11]
  storage-over-temperature	[PWG5100.11]
  storage-power-saver	[PWG5100.11]
  storage-recoverable-failure	[PWG5100.11]
  storage-removed	[PWG5100.11]
  storage-thermistor-failure	[PWG5100.11]
  storage-turned-off	[PWG5100.11]
  storage-turned-on	[PWG5100.11]
  storage-under-temperature	[PWG5100.11]
  storage-unrecoverable-failure	[PWG5100.11]
  storage-warming-up	[PWG5100.11]
